"source_table","content_hash","file_size","canonical_table","is_duplicate"
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo","1079531e793f35257f5d03b1a87c1ae0",76,"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",false
"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012","15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",false
"001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012___cópia","15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
"001_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_201","15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
"001_2012_10_outubro_20121009_bases_relatório_executivo_0910201","79689932e388e2be45c08f6902275509",18244,"001_2012_10_outubro_20121009_bases_relatório_executivo_0910201",false
"001_2012_10_outubro_20121009_bases_relatório_executivo_1610201",a86658a778d7549fb123befc0e64847c,18352,"001_2012_10_outubro_20121009_bases_relatório_executivo_1610201",false
"001_2012_10_outubro_20121009_pmcmv_relatório_executivo_0910201","15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
"001_2014_12_dezembro_rel_executivo_resumo_31122014_reprocessado","15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
"011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópi",baba95ad71b407d5bb98a392475983ad,7032,"011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópi",false
"018_int040_ministeriocidades_far_caixa_empreendimentos_20181001",d4a4f850f5581bf13d31151234ca213f,8224,"018_int040_ministeriocidades_far_caixa_empreendimentos_20181001",false
"01_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_2012","15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
"01_2012_05_maio_pmcmv_relatorio_executivo_31_05_2012__version_1","15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
"01_2012_06_junho_pmcmv_relatorio_executivo_15_06_2012_corrigido","15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
"01_2012_10_outubro_20121009_bases_relatório_executivo_09102012","79689932e388e2be45c08f6902275509",18244,"001_2012_10_outubro_20121009_bases_relatório_executivo_0910201",true
"01_2012_10_outubro_20121009_bases_relatório_executivo_16102012",a86658a778d7549fb123befc0e64847c,18352,"001_2012_10_outubro_20121009_bases_relatório_executivo_1610201",true
"01_2012_10_outubro_20121009_pmcmv_relatório_executivo_09102012","15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
"024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","967729492f053c9eb651ddb18382e479",11724,"024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"11_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópia",baba95ad71b407d5bb98a392475983ad,7032,"011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópi",true
"1_2012_04_abril_2012_04_18_pmcmv_relatorio_executivo_18_04_2012","15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
"1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831","56e85a2a11749d21d85932baa0704f59",404,"1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831",false
"202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","0a229f72f2f5564c895822079ba00a2d",11818,"202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","9955591d1a629211935cfa7908e17266",11654,"202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","69f356c2c8430dd390f86cd82796d00d",11666,"202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202408_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","95efeaa4d3edc77f9a9158ac83a7c0e8",11676,"202408_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202409_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","1487f2f5d9b3c2b5be2e7396a93c1af1",11702,"202409_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",cb7e5f6953fcbb156d831d0821378029,11740,"202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202412_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",b7f970377d54032debed0e8c7d7a78f0,11762,"202412_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202501_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","74e03c2c614d20642a23f9d3ac7fc24c",11790,"202501_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202503_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",e3ecbb65ec5a1d9b0b36127810c365d1,11836,"202503_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202504_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","28ead9346510c81906602b50610e24d8",11850,"202504_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202505_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","23d7c591cd4cc2526e55637a43fdb009",11856,"202505_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202506_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","17b4b600d54dcabab3796f430231378c",11860,"202506_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202507_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","6c79e56b3347e03d7aff587fbf6bfabd",11868,"202507_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202508_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",d669a7332777bc8c8e612afedb56e72b,11870,"202508_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202509_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","3fb9625d6f62fb09b7f9f6f2ec8ab6bb",11878,"202509_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202510_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",cfe2964089bfadb8013a89bfb1462994,11882,"202510_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202511_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",c4ab8c5e4222064bd714fb8992eaea39,11884,"202511_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202512_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",c4ab8c5e4222064bd714fb8992eaea39,11884,"202511_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",true
"202601_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",c4ab8c5e4222064bd714fb8992eaea39,11884,"202511_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",true
"202602_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",c0b7c8fa75e4cf192a98aee8b2e55e18,11898,"202602_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
"202603_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb","441a1dd4f0918b90530a166a2cdebf8a",11906,"202603_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",false
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,b4aaa575cd53248a58b0cf8d15c94393,8208,_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,false
_001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012___cópi,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,"1de97b16c55444c2e55ca0aa12d225a6",33914,_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,false
_001_2012_11_novembro_sintese_20121128_evento_1_milhao_entregas,"273d666179952b4c3ad40335782f360a",84,_001_2012_11_novembro_sintese_20121128_evento_1_milhao_entregas,false
_001_2013_01___janeiro_pmcmv_relatório_executivo__31__01__2013,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
_001_2015_01_janeiro_rel_executivo_resumo_31012015_reprocessado,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
a_001_2010_09___setembro_2010_contratação_pf_total___06092010,"90b8540401c8793f9fda118c11c025ca",19928,a_001_2010_09___setembro_2010_contratação_pf_total___06092010,false
a_001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_mode,"1079531e793f35257f5d03b1a87c1ae0",76,"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",true
a_001_2013_01___janeiro_pmcmv_relatório_executivo__31__01__201,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
aixa_001_2012_02_fevereiro_pmcmv_relatorio_executivo_17_02_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
aixa_001_2012_02_fevereiro_pmcmv_relatorio_executivo_27_02_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
aixa_001_2012_02_fevereiro_pmcmv_relatorio_executivo_29_02_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
aixa_001_2013_02___fevereiro_bases_relatório_executivo_1502201,d4cbe728db8feefa9082a51ba58308b5,21596,aixa_001_2013_02___fevereiro_bases_relatório_executivo_1502201,false
aixa_001_2013_02___fevereiro_bases_relatório_executivo_2802201,"2168ce771f24fef45859f930d1958789",21896,aixa_001_2013_02___fevereiro_bases_relatório_executivo_2802201,false
aixa_001_2013_02___fevereiro_pmcmv_relatório_executivo_1502201,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
aixa_001_2013_02___fevereiro_pmcmv_relatório_executivo_2802201,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
aixa_001_2014_12_dezembro_bases_relatório_executivo_31122014_v,"5f5f0ea65949217a739af66dd8a05c5c",36202,aixa_001_2014_12_dezembro_bases_relatório_executivo_31122014_v,false
aixa_001_2015_02_fevereiro_pmcmv_3_relatório_executivo_2802201,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
aixa_001_2015_11_novembro_pmcmv_3_relatório_executivo_30112015,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
aixa_001_2015_12_dezembro_bases_relatório_executivo_31122015v2,aa5b44477a667178b4468bf99dec5f4e,39200,aixa_001_2015_12_dezembro_bases_relatório_executivo_31122015v2,false
aixa_001_2016_02_fevereiro_relatorio_cidades__entregas_20160229,"4e0fd30baf15b1f7f9bd59e6800690fe",289584,aixa_001_2016_02_fevereiro_relatorio_cidades__entregas_20160229,false
aixa_002_2015_12_dezembro_pmcmv_3_relatório_executivo_31122015,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
atorio_executivo_30092012_v3_bases_relatório_executivo_3009201,"7846ec395ad1340c26028ec9fbb451fb",18124,atorio_executivo_30092012_v3_bases_relatório_executivo_3009201,false
atorio_executivo_30092012_v3_pmcmv_relatório_executivo_3009201,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,false
bb_2011_01_janeiro_rel_11jan2011,"82ee497aea1a5823dcf307bc05b1624f",322,bb_2011_01_janeiro_rel_11jan2011,false
bb_2011_01_janeiro_rel_25jan2011,"8e4c886080f5674654bb789d381eb48a",316,bb_2011_01_janeiro_rel_25jan2011,false
bb_2011_02_fevereiro_dados_22022011,"54a0ab43e92cf654bb536cd39394cd30",32,bb_2011_02_fevereiro_dados_22022011,false
bb_2011_02_fevereiro_relatório_mcmv_bb_01_02_2011,"8e4c886080f5674654bb789d381eb48a",316,bb_2011_01_janeiro_rel_25jan2011,true
bb_2011_02_fevereiro_relatório_mcmv_bb_08_02_2011,dd093b749dff8337698b97e10f191199,316,bb_2011_02_fevereiro_relatório_mcmv_bb_08_02_2011,false
bb_2011_02_fevereiro_relatório_mcmv_bb_16_02_2011,"4ee78582be7cec2023b27347b8c4e3d1",316,bb_2011_02_fevereiro_relatório_mcmv_bb_16_02_2011,false
bb_2011_03_março_relatorio_min_cidades___22mar11,"57b836cb57e5a7f548ca739dc907d394",316,bb_2011_03_março_relatorio_min_cidades___22mar11,false
bb_2011_04_abril_relatorio_min_cidades___18abr11,"2546bd1ad06b63d32c27722661791160",316,bb_2011_04_abril_relatorio_min_cidades___18abr11,false
bb_2011_04_abril_relatorio_min_cidades___26abr11,"2546bd1ad06b63d32c27722661791160",316,bb_2011_04_abril_relatorio_min_cidades___18abr11,true
bb_2011_05_maio_relatorio_min_cidades___03mai11,"2546bd1ad06b63d32c27722661791160",316,bb_2011_04_abril_relatorio_min_cidades___18abr11,true
bb_2011_05_maio_relatorio_min_cidades___10mai11,b9706cf2679ea4820f01df60bd93c0b2,316,bb_2011_05_maio_relatorio_min_cidades___10mai11,false
bb_2011_05_maio_relatorio_min_cidades___17mai11,b9706cf2679ea4820f01df60bd93c0b2,316,bb_2011_05_maio_relatorio_min_cidades___10mai11,true
bb_2011_05_maio_relatorio_min_cidades___24mai11,a3b3a7ee2a98eb5f256c728c6e870e91,316,bb_2011_05_maio_relatorio_min_cidades___24mai11,false
bb_2011_06_junho_relatorio_min_cidades___07jun11,adf1c69191fc8ec84ae2f03f03c41be4,316,bb_2011_06_junho_relatorio_min_cidades___07jun11,false
bb_2011_07_julho_relatorio_min__cidades_19jul11,b438eb34e51fd1d4feea6ae9e7659267,316,bb_2011_07_julho_relatorio_min__cidades_19jul11,false
bb_2011_07_julho_relatorio_min_cidades___12jul11,b438eb34e51fd1d4feea6ae9e7659267,316,bb_2011_07_julho_relatorio_min__cidades_19jul11,true
bb_2011_08_agosto_balanço_23_08_2011_min__planejamento,"08d987a7605bcd14437991e60b98eac1",12,bb_2011_08_agosto_balanço_23_08_2011_min__planejamento,false
bb_2011_08_agosto_relatorio_min__cidades_16ago11,"55da41cae18d922027cb532ae2b80a8d",106,bb_2011_08_agosto_relatorio_min__cidades_16ago11,false
bb_2011_08_agosto_relatorio_min__cidades_30ago11,"743b4f6c70e66f1f9ecde74d823908fb",106,bb_2011_08_agosto_relatorio_min__cidades_30ago11,false
bb_2011_09_setembro_relatorio_min__cidades_13set11_2,"743b4f6c70e66f1f9ecde74d823908fb",106,bb_2011_08_agosto_relatorio_min__cidades_30ago11,true
bb_2011_10_outubro_relatorio_min__cidades_04out11,"743b4f6c70e66f1f9ecde74d823908fb",106,bb_2011_08_agosto_relatorio_min__cidades_30ago11,true
bb_2011_10_outubro_relatorio_min__cidades_11out11,"743b4f6c70e66f1f9ecde74d823908fb",106,bb_2011_08_agosto_relatorio_min__cidades_30ago11,true
bb_2011_10_outubro_relatorio_min__cidades_18out11,"743b4f6c70e66f1f9ecde74d823908fb",106,bb_2011_08_agosto_relatorio_min__cidades_30ago11,true
bb_2011_10_outubro_relatorio_min__cidades_25out11,dd31d1c648137793c9f0178feee3a061,106,bb_2011_10_outubro_relatorio_min__cidades_25out11,false
bb_2012_01_janeiro_relatorio_min__cidades_17jan12,fbc63b475b0d1e09ec7e20711443e0df,110,bb_2012_01_janeiro_relatorio_min__cidades_17jan12,false
bb_2012_01_janeiro_relatorio_min__cidades_24jan12,fbc63b475b0d1e09ec7e20711443e0df,110,bb_2012_01_janeiro_relatorio_min__cidades_17jan12,true
bb_2012_01_janeiro_relatorio_min__cidades_31_01_2012,fbc63b475b0d1e09ec7e20711443e0df,110,bb_2012_01_janeiro_relatorio_min__cidades_17jan12,true
bb_2012_01_janeiro_relatorio_min_cidades_03_jan_12,fbc63b475b0d1e09ec7e20711443e0df,110,bb_2012_01_janeiro_relatorio_min__cidades_17jan12,true
bb_2012_02_fevereiro_relatorio_min__cidades_06_02_2012,fbc63b475b0d1e09ec7e20711443e0df,110,bb_2012_01_janeiro_relatorio_min__cidades_17jan12,true
bb_2012_02_fevereiro_relatorio_min__cidades_28_02_2012,fbc63b475b0d1e09ec7e20711443e0df,110,bb_2012_01_janeiro_relatorio_min__cidades_17jan12,true
bb_2012_03_março_relatorio_min__cidades_06_03_2012,fbc63b475b0d1e09ec7e20711443e0df,110,bb_2012_01_janeiro_relatorio_min__cidades_17jan12,true
bb_2012_03_março_relatorio_min__cidades_13_03_2012,fbc63b475b0d1e09ec7e20711443e0df,110,bb_2012_01_janeiro_relatorio_min__cidades_17jan12,true
bb_2012_03_março_relatorio_min__cidades_20_03_2012,fbc63b475b0d1e09ec7e20711443e0df,110,bb_2012_01_janeiro_relatorio_min__cidades_17jan12,true
bb_2012_03_março_relatorio_min__cidades_27_03_2012,fbc63b475b0d1e09ec7e20711443e0df,110,bb_2012_01_janeiro_relatorio_min__cidades_17jan12,true
bb_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_b,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_04_abril_rel_min_cidades_valores_25_04_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_04_abril_rel_min_cidades_valores_25_04_2012_bd,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_04_abril_relatorio_min__cidades_03_04_2012,fbc63b475b0d1e09ec7e20711443e0df,110,bb_2012_01_janeiro_relatorio_min__cidades_17jan12,true
bb_2012_05_maio_relatorio_min__cidades_08_05_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_05_maio_relatorio_min__cidades_08_05_2012_bd,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_05_maio_relatorio_min__cidades_15_05_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_05_maio_relatorio_min__cidades_15_05_2012_bd,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_05_maio_relatorio_min__cidades_21_05_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_05_maio_relatorio_min__cidades_21_05_2012___bd,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_05_maio_relatorio_min__cidades_28_05_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_05_maio_relatorio_min__cidades_28_05_2012_ctr_caixa_bb,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_05_maio_relatorio_min__cidades_31_05_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_05_maio_relatorio_min__cidades_31_05_2012_bd,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_05_maio_z_relatorio_caixa_3105a,ecda93eeacdcd8d6c16762c2cb5e23d8,436,bb_2012_05_maio_z_relatorio_caixa_3105a,false
bb_2012_06_junho_relatorio_min__cidades_04_06_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_06_junho_relatorio_min__cidades_18_06_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_06_junho_relatorio_min__cidades_18_06_2012_ret,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_06_junho_relatorio_min__cidades_26_06_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_07_julho_relatorio_min__cidades_03_07_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_07_julho_relatorio_min__cidades_09_07_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_07_julho_relatorio_min__cidades_17_07_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_07_julho_relatorio_min__cidades_24_07_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_07_julho_relatorio_min__cidades_30_07_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_08_agosto_relatorio_min__cidades_07_08_2012__1,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_08_agosto_relatorio_min__cidades_14_08_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_08_agosto_relatorio_min__cidades_21_08_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_08_agosto_relatorio_min__cidades_27_08_2012__1,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_08_agosto_relatorio_min__cidades_31_08_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_09_setembro_relatorio_min__cidades_01_10_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_09_setembro_relatorio_min__cidades_11_09_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_10_outubro_entrada_bb_20121023,"32fd8e29a1b4f9f23af0b4bc13d24159",604,bb_2012_10_outubro_entrada_bb_20121023,false
bb_2012_10_outubro_entrada_bb_20121031,ff78cd3012ab17d81cc7e2415b4e4c00,604,bb_2012_10_outubro_entrada_bb_20121031,false
bb_2012_10_outubro_entrada_bb_20121031_ajustada,"33660a1eac76bc2410b616b1f0361e9f",176,bb_2012_10_outubro_entrada_bb_20121031_ajustada,false
bb_2012_10_outubro_relatorio_min__cidades_09_10_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_10_outubro_relatorio_min__cidades_23_10_2012,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
bb_2012_11_novembro_entrada_bb_20121106,ff78cd3012ab17d81cc7e2415b4e4c00,604,bb_2012_10_outubro_entrada_bb_20121031,true
bb_2012_11_novembro_entrada_bb_20121113,"9a95b785877df9775019758a52825e97",604,bb_2012_11_novembro_entrada_bb_20121113,false
bb_2012_11_novembro_entrada_bb_20121119,"64fee8a37646f8faef8527ecd370b557",604,bb_2012_11_novembro_entrada_bb_20121119,false
bb_2012_11_novembro_entrada_bb_20121127,"402727a2c93c623eb57fbfc3ca2023df",308,bb_2012_11_novembro_entrada_bb_20121127,false
bb_2012_11_novembro_entrada_bb_20121127v2,"1f47020daf24350807fa156a89eaf88f",604,bb_2012_11_novembro_entrada_bb_20121127v2,false
bb_2012_11_novembro_entrada_bb_20121130,ed79465af3e591032867a023e4c01ee2,308,bb_2012_11_novembro_entrada_bb_20121130,false
bb_2012_12_dezembro_entrada_bb_20121210,a74637ce5f0139a3af73832eb2539122,308,bb_2012_12_dezembro_entrada_bb_20121210,false
bb_2012_12_dezembro_entrada_bb_20121217,"65d618e4c2b5fba9b8c24b1c1db5da05",604,bb_2012_12_dezembro_entrada_bb_20121217,false
bb_2012_12_dezembro_entrada_bb_20121228,f38a88f223890b9ccd3627e2611897a5,516,bb_2012_12_dezembro_entrada_bb_20121228,false
bb_2013_01_janeiro_entrada_bb_20130107,"7f97afe29ce456f96ccc9bd50b635259",604,bb_2013_01_janeiro_entrada_bb_20130107,false
bb_2013_01_janeiro_entrada_bb_20130113,f38a88f223890b9ccd3627e2611897a5,516,bb_2012_12_dezembro_entrada_bb_20121228,true
bb_2013_01_janeiro_entrada_bb_20130121,"98c291fe7b484407ce306aeec5578987",516,bb_2013_01_janeiro_entrada_bb_20130121,false
bb_2013_01_janeiro_entrada_bb_20130128,"240bbb9c75d36076118e7c4ec26b3a6d",516,bb_2013_01_janeiro_entrada_bb_20130128,false
bb_2013_02_fevereiro_entrada_bb_20130205,"2384f0dd8b41346a904f0cbc31e60df3",516,bb_2013_02_fevereiro_entrada_bb_20130205,false
bb_2013_02_fevereiro_entrada_bb_20130219,c5ed354435ca6f0e0531df05ec32e0dc,520,bb_2013_02_fevereiro_entrada_bb_20130219,false
bb_2013_02_fevereiro_entrada_bb_20130226,"15e9baefee2c87525b9d008a41b49ef3",516,bb_2013_02_fevereiro_entrada_bb_20130226,false
bb_2013_02_fevereiro_propostas_bb,"4873bf05529db4ffa34404fc31c934ab",178,b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,true
